zphoto zspec
0.398633 0.491189
0.386813 0.491555
0.273026 0.491664
0.268643 0.491741
0.261651 0.491759
0.404459 0.491836
0.373706 0.491979
0.22387 0.49204
0.282576 0.492057
0.396103 0.492161
0.329136 0.492423
0.618321 0.492481
2.963623 0.492606
0.285849 0.492852
0.370922 0.492883
0.383033 0.492939
0.355215 0.493164
0.316995 0.493239
0.389965 0.49338
0.336755 0.4936
0.215566 0.494158
0.183437 0.494378
0.367525 0.494605
0.253843 0.494705
0.390408 0.494721
0.327412 0.494824
0.347178 0.495328
0.312423 0.495468
0.258861 0.495514
0.403435 0.495752
0.333562 0.496
0.291101 0.496048
0.389013 0.496062
0.359741 0.496069
0.353871 0.496106
0.373607 0.496119
0.350189 0.496763
0.338766 0.496788
0.255045 0.496798
0.37105 0.496865
0.328473 0.497053
0.38208 0.49733
0.302891 0.497371
0.30457 0.497373
0.222831 0.497382
0.134056 0.497424
0.404354 0.497439
0.362606 0.4975
0.333625 0.497521
0.371389 0.497734
0.36375 0.497902
0.389013 0.497965
0.200626 0.498061
0.347086 0.498112
0.380952 0.498123
0.371207 0.498195
0.28239 0.498329
0.217309 0.498418
0.407753 0.498479
0.265961 0.498516
0.365648 0.498678
0.397385 0.499082
0.297602 0.499115
0.09242 0.499137
0.385352 0.499223
0.361433 0.499269
0.338368 0.499338
0.311713 0.499523
0.313164 0.499524
0.377231 0.499624
0.381754 0.49979
0.384116 0.499949
0.402042 0.500238
0.338724 0.50034
0.303745 0.500432
0.308097 0.500747
0.219553 0.500843
0.214165 0.500915
0.372879 0.501004
0.348954 0.501217
0.370036 0.501911
0.255775 0.501962
0.389548 0.502088
0.303261 0.502596
0.359256 0.502654
0.379939 0.502837
0.329059 0.502864
0.361124 0.502889
0.377357 0.502979
0.348603 0.50307
0.132629 0.503829
0.366844 0.503976
2.742005 0.503988
0.408739 0.504628
0.252297 0.50534
0.294583 0.50554
0.355596 0.505578
0.234667 0.505644
0.310306 0.505662
0.377171 0.505711
0.352132 0.505741
0.398977 0.505757
0.309162 0.506264
0.371641 0.5063
0.395107 0.506554
0.26227 0.506582
0.332178 0.507047
0.276966 0.507186
